measure_start,beat_start,measure_end,beat_end,motive,instruments
74,0.0,75,0.0,M6,Vib.
75,0.0,76,0.0,M6,Vib.
75,0.0,82,0.0,M5,"Sop Sax, Cl. 1, Cl. 2, Tpt. 1, Tpt. 2"
76,0.0,77,0.0,M6,Vib.
77,0.0,78,0.0,M6,"Vib., Fl. 2, Cl. 2"
78,0.0,78,2.0,M1,"Vib., Cb., Bsn."
78,1.5,80,0.0,M4,Solo Vln
78,2.0,79,0.0,M1,"Vib., Cb., Bsn."
79,0.0,79,2.0,M1,"Vib., Cb., Bsn."
79,2.0,80,0.0,M1,"Vib., Cb., Bsn."
80,0.0,80,2.0,M1,Cb.
80,0.25,82,0.0,M4,Solo Vln
80,2.0,81,0.0,M1,Cb.
81,0.0,81,2.0,M1,Cb.
81,2.0,82,0.0,M1,Cb.
82,0.0,82,2.0,M1,Cb.
82,2.0,83,0.0,M1,Cb.
83,0.0,83,2.0,M1,Cb.
83,2.0,84,0.0,M1,Cb.
84,0.0,84,2.0,M1,"Vc., Cb."
84,2.0,85,0.0,M1,"Vc., Cb."
85,0.0,85,2.0,M1,"Vc., Cb."
85,2.0,86,0.0,M1,"Vc., Cb."
86,0.0,86,2.0,M1,"Vla., Vc., Cb."
86,2.0,87,0.0,M1,"Vla., Vc., Cb."
87,0.0,87,2.0,M1,"Vla., Vc., Cb."
87,2.0,88,0.0,M1,"Vla., Vc., Cb."
88,0.0,88,2.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
88,2.0,89,0.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
89,0.0,89,2.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
89,2.0,90,0.0,M1,"Vln I, Vln I, Vla., Vc., Cb."
90,0.0,90,2.0,M1,"Vla., Vc., Cb."
90,0.0,100,0.0,M2,"Fl. 1, Sop Sax, Fl. 2, Solo Vc., Ob."
90,0.5,90,0.75,M3,Solo Vc.
90,0.75,90,1.0,M3,Solo Vc.
90,1.0,90,1.25,M3,Solo Vc.
90,1.25,90,1.5,M3,Solo Vc.
90,2.0,91,0.0,M1,"Vla., Vc., Cb."
90,2.5,90,3.0,M3,Solo Vc.
90,3.0,90,3.5,M3,Solo Vc.
91,0.0,91,2.0,M1,"Vla., Vc., Cb."
91,0.5,91,0.75,M3,Solo Vc.
91,0.75,91,1.0,M3,Solo Vc.
